eqn,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,pct_deviation,date_modified,r_squared,max_size,min_size,
hvac_gas_non_eq,780.319943,0.778810032,0,0,0,0,0,0,0,0,13.37%, 10/17/2017 10:33:37 AM,0.9423,5032.1,0,
hvac_hp_eq_large,2100.955742,0.874996813,0,0,0,0,0,0,0,0,5.27%, 6/23/2017 3:08:16 PM,0.9865,50.01,12,
hvac_hp_eq_small,0,0,0,0,3162.065483,0.150464002,0,0,0,0,8.95%, 6/23/2017 3:07:28 PM,0.9732,12,0,
hvac_oil_mid_eq,931.1841008,0.758949775,0,0,0,0,0,0,0,0,8.50%, 10/17/2017 10:34:48 AM,0.9880,3350.1,0,
hvac_oil_std_eq,931.1841008,0.758949775,0,0,0,0,0,0,0,0,8.50%, 10/17/2017 10:34:25 AM,0.9880,3350.1,0,
imp_mix_eq,4305.48947,0.626243436,0,0,0,0,0,0,0,0,13.45%, 6/21/2017 4:32:10 PM,0.8838,110,0,
mag_fm_eq,0,0,0,0,0,0,0,56.41874171,185.4434934,3549.646118,9.85%, 6/23/2017 1:20:53 PM,0.9892,20.1,0,
mount_mix_eq,0,0,0,0,0,0,0,-105.9030377,1212.481536,1616.960566,7.71%, 6/21/2017 4:31:48 PM,0.9146,4.1,0,
off_regen_eq,0,0,0,0,0,0,0,0,-0.0000052,1.221341695,0.11%, 6/23/2017 1:29:08 PM,0.9998,40000,0,
on_regen_eq,89607.05741,0.391015932,0,0,0,0,0,0,0,0,3.45%, 6/23/2017 1:28:53 PM,0.9956,100001,0,
op_fm_eq,0,0,0,0,0,0,0.097957253,-4.383599187,363.6476941,2505.954411,4.78%, 6/23/2017 1:19:01 PM,0.9993,60.1,0,
pl_cst_eq,0,0,0,0,0,0,0,0.000028624,1.542885519,773.8285146,28.93%, 6/20/2017 12:06:10 PM,0.9368,6601,0,
pp_chv_eq,0,0,0,0,0,0,0,29.05743239,41.15718672,41.98796389,19.76%, 6/21/2017 4:02:12 PM,0.9823,12.1,0,
pp_man_eq_large,0,0,0,0,0,0,22.30025789,-1282.044463,25673.26432,-162055.4444,1.27%, 6/21/2017 3:55:57 PM,0.9988,24.1,14,
pp_man_eq_small,0,0,0,0,0,0,2.727129527,-29.26938628,178.3802096,26.23562317,13.59%, 6/21/2017 3:55:11 PM,0.9721,12,0,
pp_mov_eq_large,0,0,0,0,0,0,9.39851643,-558.7274647,12544.51358,-82391.1311,1.34%, 6/23/2017 11:56:12 AM,0.9984,24.1,14,
pp_mov_eq_small,0,0,0,0,439.3853472,0.212664842,0,0,0,0,13.05%, 6/23/2017 11:55:40 AM,0.9749,12,0,
prop_fm_eq,0,0,0,0,0,0,8.745107924,-168.9746008,1267.944728,643.1120557,10.53%, 6/23/2017 1:19:43 PM,0.9200,14.1,0,
pump_eq,0,0,0,0,0,0,0,-0.000467922,12.09884477,6672.346155,13.37%, 6/21/2017 4:04:31 PM,0.9320,10001,0,Pump equation (all pumps)
pvc_empump_eq,841.4837783,0.297238954,0,0,0,0,0,0,0,0,34.01%, 6/21/2017 4:07:27 PM,0.7241,71.16,0,
pvc_mmpump_eq,2131.017319,0.15164036,0,0,0,0,0,0,0,0,9.98%, 6/21/2017 4:05:33 PM,0.8607,108.01,0,
pvc_pipe_eq,0,0,0,0,0,0,0,0.104376414,0.212173712,2.276782637,32.55%, 6/21/2017 11:02:23 AM,0.9951,48.1,0,
seductor_eq,0,0,0,0,0,0,0,0,2905.857768,-2698.454911,10.61%, 6/21/2017 4:42:21 PM,0.9732,6.1,1.5,
septic_tank_eq,0,0,0,0,0,0,0,-0.000002532,1.821301315,-658.644155,14.74%, 8/17/2015 2:37:21 PM,0.9951,100001,750,
ss_chv_eq,0,0,0,0,0,0,0,31.22016133,300.8432045,95.60064806,18.39%, 6/21/2017 4:01:20 PM,0.9931,48.1,0,
ss_cst_eq,0,0,0,0,0,0,0,-0.000008386,2.862939133,4567.354162,4.84%, 6/20/2017 12:07:44 PM,0.9975,30001,0,
ss_empump_eq,1639.620796,0.215673063,0,0,0,0,0,0,0,0,12.61%, 6/21/2017 4:07:58 PM,0.9425,186.36,0,
ss_man_eq,219.9087906,1.684831267,0,0,0,0,0,0,0,0,43.17%, 6/21/2017 3:40:26 PM,0.9069,12.1,1,
ss_mmpump_eq,0,0,0,0,0,0,-0.000050447,0.023222424,6.980446136,4385.360561,14.11%, 6/21/2017 4:06:06 PM,0.5555,360.01,0,
ss_mov_eq,0,0,0,0,0,0,0,75.65821756,386.9778023,199.1378722,15.75%, 6/23/2017 12:02:57 PM,0.9961,48.1,0,
ss_pipe_eq,30.64548851,0.979401509,0,0,0,0,0,0,0,0,48.77%, 6/21/2017 11:03:32 AM,0.9304,48.1,0,
ss_pv_eq,0,0,0,0,0,0,0,-0.000076738,15.4441586,15601.13939,13.66%, 6/20/2017 11:43:02 AM,0.9876,27101,0,Stainless Steel Pressure Vessel
st_bwt_eq,355.93975,0.522116207,0,0,0,0,0,0,0,0,31.30%, 6/20/2017 11:52:42 AM,0.6260,282095,0,stainless steel backwash tank 
st_pipe_eq,0,0,0,0,0,0,0.006634131,-0.638131479,21.06271018,-5.141982997,13.81%, 6/21/2017 11:04:26 AM,0.9400,48.1,1,
ven_fm_eq,0,0,0,0,0,0,8.228279249,-257.2857211,3322.365777,-213.6489575,2.79%, 6/23/2017 1:19:18 PM,0.9997,24.1,0,
